date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-12-14 00:00:00+00:00,257.22,262.588,254.31,257.13,35410933,250.651141625,255.8820541833,247.815456911,250.5634400359,35410933,0.0,1.0
2022-12-15 00:00:00+00:00,249.01,254.2,247.34,253.72,35568093,242.6508077756,247.7082660799,241.0234560669,247.2405242714,35568093,0.0,1.0
2022-12-16 00:00:00+00:00,244.69,249.84,243.51,248.55,86101994,238.4411314992,243.4596113194,237.29126622,242.2025552091,86101994,0.0,1.0
2022-12-19 00:00:00+00:00,240.45,245.21,238.71,244.86,29696436,234.3094121908,238.9478517917,232.613848135,238.6067900563,29696436,0.0,1.0
2022-12-20 00:00:00+00:00,241.8,242.91,238.42,239.4,25150802,235.6249360272,236.7065889593,232.3312541257,233.2862269848,25150802,0.0,1.0
2022-12-21 00:00:00+00:00,244.43,245.615,240.11,241.69,23690607,238.1877713529,239.3425089426,233.9780950765,235.5177451961,23690607,0.0,1.0
2022-12-22 00:00:00+00:00,238.19,241.99,233.87,241.255,28651664,232.1071278425,235.8100838264,227.8974515661,235.0938541821,28651664,0.0,1.0
2022-12-23 00:00:00+00:00,238.73,238.87,233.9428,236.11,21206982,232.6333373771,232.7697620712,227.9683924071,230.0802466724,21206982,0.0,1.0
2022-12-27 00:00:00+00:00,236.96,238.93,235.83,238.7,16688648,230.9085394583,232.8282297973,229.8073972841,232.604103514,16688648,0.0,1.0
2022-12-28 00:00:00+00:00,234.53,239.72,234.17,236.89,17457104,228.5405965528,233.5980548571,228.1897901964,230.8403271112,17457104,0.0,1.0
2022-12-29 00:00:00+00:00,241.01,241.92,235.65,235.65,19770693,234.8551109674,235.7418714793,229.6319941059,229.6319941059,19770693,0.0,1.0
2022-12-30 00:00:00+00:00,239.82,239.96,236.66,238.21,21938472,233.6955010672,233.8319257613,230.6162008279,232.1266170845,21938472,0.0,1.0
2023-01-03 00:00:00+00:00,239.58,245.75,237.4,243.08,25740036,233.4616301629,239.4740613262,231.3373027827,236.8722475165,25740036,0.0,1.0
2023-01-04 00:00:00+00:00,229.1,232.87,225.96,232.275,50623394,223.2492673442,226.9229894651,220.189456347,226.343184515,50623394,0.0,1.0
2023-01-05 00:00:00+00:00,222.31,227.55,221.7602,227.2,39585623,216.6326696783,221.7388510876,216.0969104151,221.3977893523,39585623,0.0,1.0
2023-01-06 00:00:00+00:00,224.93,225.7601,219.35,223.0,43613574,219.185760383,219.994661373,213.7482618593,217.305048528,43613574,0.0,1.0
2023-01-09 00:00:00+00:00,227.12,231.2366,226.41,226.45,27369784,221.3198323842,225.3313030693,220.6279642925,220.6669427765,27369784,0.0,1.0
2023-01-10 00:00:00+00:00,228.85,231.31,227.33,227.755,27033881,223.005651819,225.4028285875,221.5244694254,221.9386158183,27033881,0.0,1.0
2023-01-11 00:00:00+00:00,235.77,235.95,231.11,231.29,28669331,229.748929558,229.9243327362,225.2079361673,225.3833393455,28669331,0.0,1.0
2023-01-12 00:00:00+00:00,238.51,239.9,233.56,235.26,27269486,232.4189557148,233.7734580353,227.5953683148,229.2519538865,27269486,0.0,1.0
2023-01-13 00:00:00+00:00,239.23,239.37,234.92,237.002,21333265,233.1205684276,233.2569931217,228.9206367722,230.9494668665,21333265,0.0,1.0
2023-01-17 00:00:00+00:00,240.35,240.91,237.09,237.97,29831257,234.2119659807,234.7576647573,231.0352195314,231.8927461803,29831257,0.0,1.0
2023-01-18 00:00:00+00:00,235.81,242.38,235.52,241.565,30028692,229.7879080421,236.1901240458,229.5053140328,235.3959374335,30028692,0.0,1.0
2023-01-19 00:00:00+00:00,231.93,235.52,230.68,233.78,28623033,226.0069950901,229.5053140328,224.7889174638,227.809749977,28623033,0.0,1.0
2023-01-20 00:00:00+00:00,240.22,240.74,234.51,234.855,35389809,234.0852859076,234.5920062001,228.5211073108,228.8572967356,35389809,0.0,1.0
2023-01-23 00:00:00+00:00,242.58,245.165,239.65,241.1,31933951,236.385016466,238.9040009971,233.52984251,234.9428125565,31933951,0.0,1.0
2023-01-24 00:00:00+00:00,242.04,243.95,240.44,242.5,40234444,235.8588069315,237.7200295444,234.2996675698,236.3070594979,40234444,0.0,1.0
2023-01-25 00:00:00+00:00,240.61,243.3,230.9,234.48,66526641,234.465326127,237.0866291787,225.0032991261,228.4918734477,66526641,0.0,1.0
2023-01-26 00:00:00+00:00,248.0,248.31,242.0,243.65,33454491,241.6666010535,241.9686843049,235.8198284474,237.4276909141,33454491,0.0,1.0
2023-01-27 00:00:00+00:00,248.16,249.83,246.83,248.99,26498939,241.8225149897,243.4498666984,240.5264803953,242.6313185336,26498939,0.0,1.0
2023-01-30 00:00:00+00:00,242.71,245.6,242.2,244.51,25867365,236.5116965391,239.3278920111,236.0147208676,238.265728321,25867365,0.0,1.0
2023-01-31 00:00:00+00:00,247.81,247.95,242.945,243.45,26541072,241.4814532543,241.6178779485,236.7406951329,237.2327984939,26541072,0.0,1.0
2023-02-01 00:00:00+00:00,252.75,255.18,245.47,248.0,31259912,246.2952960334,248.6632389389,239.201211938,241.6666010535,31259912,0.0,1.0
2023-02-02 00:00:00+00:00,264.6,264.69,257.25,258.82,39940437,257.8426719305,257.9303735196,250.680375488,252.2102809866,39940437,0.0,1.0
2023-02-03 00:00:00+00:00,258.35,264.2,257.1,259.542,29077256,251.7522837991,257.4528870901,250.5342061728,252.9138426235,29077256,0.0,1.0
